job,structure,environment,batch,kind,resin,pfas,pose,charge,multiplicity,atoms,cpus,mem_gb,gaussian_mem_gb,hours,pilot,input_dir
A400_PFOS_head_axial__water,A400_PFOS_head_axial,water,1,complex,A400,PFOS,head_axial,0,1,56,8,40,30,48,1,inputs/water/A400_PFOS_head_axial
A400_PFOS_head_axial__unsolvated,A400_PFOS_head_axial,unsolvated,1,complex,A400,PFOS,head_axial,0,1,56,8,40,30,48,1,inputs/unsolvated/A400_PFOS_head_axial
A400_PFOS_head_tangential__water,A400_PFOS_head_tangential,water,1,complex,A400,PFOS,head_tangential,0,1,56,8,40,30,48,0,inputs/water/A400_PFOS_head_tangential
A400_PFOS_head_tangential__unsolvated,A400_PFOS_head_tangential,unsolvated,1,complex,A400,PFOS,head_tangential,0,1,56,8,40,30,48,0,inputs/unsolvated/A400_PFOS_head_tangential
A400_PFOS_alternate_oxygen__water,A400_PFOS_alternate_oxygen,water,1,complex,A400,PFOS,alternate_oxygen,0,1,56,8,40,30,48,0,inputs/water/A400_PFOS_alternate_oxygen
A400_PFOS_alternate_oxygen__unsolvated,A400_PFOS_alternate_oxygen,unsolvated,1,complex,A400,PFOS,alternate_oxygen,0,1,56,8,40,30,48,0,inputs/unsolvated/A400_PFOS_alternate_oxygen
A400_F__water,A400_F,water,1,counterion,A400,,,0,1,28,8,40,30,48,1,inputs/water/A400_F
A400_F__unsolvated,A400_F,unsolvated,1,counterion,A400,,,0,1,28,8,40,30,48,1,inputs/unsolvated/A400_F
PC4P_Cl__water,PC4P_Cl,water,2,counterion,PC4P,,,0,1,73,8,64,48,48,0,inputs/water/PC4P_Cl
PC4P_Cl__unsolvated,PC4P_Cl,unsolvated,2,counterion,PC4P,,,0,1,73,8,64,48,48,0,inputs/unsolvated/PC4P_Cl
PC4P_PFBA_head_axial__water,PC4P_PFBA_head_axial,water,2,complex,PC4P,PFBA,head_axial,0,1,85,8,64,48,48,0,inputs/water/PC4P_PFBA_head_axial
PC4P_PFBA_head_axial__unsolvated,PC4P_PFBA_head_axial,unsolvated,2,complex,PC4P,PFBA,head_axial,0,1,85,8,64,48,48,0,inputs/unsolvated/PC4P_PFBA_head_axial
PC4P_PFBA_head_tangential__water,PC4P_PFBA_head_tangential,water,2,complex,PC4P,PFBA,head_tangential,0,1,85,8,64,48,48,0,inputs/water/PC4P_PFBA_head_tangential
PC4P_PFBA_head_tangential__unsolvated,PC4P_PFBA_head_tangential,unsolvated,2,complex,PC4P,PFBA,head_tangential,0,1,85,8,64,48,48,0,inputs/unsolvated/PC4P_PFBA_head_tangential
PC4P_PFBA_alternate_oxygen__water,PC4P_PFBA_alternate_oxygen,water,2,complex,PC4P,PFBA,alternate_oxygen,0,1,85,8,64,48,48,0,inputs/water/PC4P_PFBA_alternate_oxygen
PC4P_PFBA_alternate_oxygen__unsolvated,PC4P_PFBA_alternate_oxygen,unsolvated,2,complex,PC4P,PFBA,alternate_oxygen,0,1,85,8,64,48,48,0,inputs/unsolvated/PC4P_PFBA_alternate_oxygen
PC4P_PFPeA_head_axial__water,PC4P_PFPeA_head_axial,water,2,complex,PC4P,PFPeA,head_axial,0,1,88,8,64,48,48,0,inputs/water/PC4P_PFPeA_head_axial
PC4P_PFPeA_head_axial__unsolvated,PC4P_PFPeA_head_axial,unsolvated,2,complex,PC4P,PFPeA,head_axial,0,1,88,8,64,48,48,0,inputs/unsolvated/PC4P_PFPeA_head_axial
PC4P_PFPeA_head_tangential__water,PC4P_PFPeA_head_tangential,water,2,complex,PC4P,PFPeA,head_tangential,0,1,88,8,64,48,48,0,inputs/water/PC4P_PFPeA_head_tangential
PC4P_PFPeA_head_tangential__unsolvated,PC4P_PFPeA_head_tangential,unsolvated,2,complex,PC4P,PFPeA,head_tangential,0,1,88,8,64,48,48,0,inputs/unsolvated/PC4P_PFPeA_head_tangential
PC4P_PFPeA_alternate_oxygen__water,PC4P_PFPeA_alternate_oxygen,water,2,complex,PC4P,PFPeA,alternate_oxygen,0,1,88,8,64,48,48,0,inputs/water/PC4P_PFPeA_alternate_oxygen
PC4P_PFPeA_alternate_oxygen__unsolvated,PC4P_PFPeA_alternate_oxygen,unsolvated,2,complex,PC4P,PFPeA,alternate_oxygen,0,1,88,8,64,48,48,0,inputs/unsolvated/PC4P_PFPeA_alternate_oxygen
PC4P_PFHpA_head_axial__water,PC4P_PFHpA_head_axial,water,2,complex,PC4P,PFHpA,head_axial,0,1,94,8,64,48,48,0,inputs/water/PC4P_PFHpA_head_axial
PC4P_PFHpA_head_axial__unsolvated,PC4P_PFHpA_head_axial,unsolvated,2,complex,PC4P,PFHpA,head_axial,0,1,94,8,64,48,48,0,inputs/unsolvated/PC4P_PFHpA_head_axial
PC4P_PFHpA_head_tangential__water,PC4P_PFHpA_head_tangential,water,2,complex,PC4P,PFHpA,head_tangential,0,1,94,8,64,48,48,0,inputs/water/PC4P_PFHpA_head_tangential
PC4P_PFHpA_head_tangential__unsolvated,PC4P_PFHpA_head_tangential,unsolvated,2,complex,PC4P,PFHpA,head_tangential,0,1,94,8,64,48,48,0,inputs/unsolvated/PC4P_PFHpA_head_tangential
PC4P_PFHpA_alternate_oxygen__water,PC4P_PFHpA_alternate_oxygen,water,2,complex,PC4P,PFHpA,alternate_oxygen,0,1,94,8,64,48,48,0,inputs/water/PC4P_PFHpA_alternate_oxygen
PC4P_PFHpA_alternate_oxygen__unsolvated,PC4P_PFHpA_alternate_oxygen,unsolvated,2,complex,PC4P,PFHpA,alternate_oxygen,0,1,94,8,64,48,48,0,inputs/unsolvated/PC4P_PFHpA_alternate_oxygen
PC4P_PFOA_head_axial__water,PC4P_PFOA_head_axial,water,2,complex,PC4P,PFOA,head_axial,0,1,97,8,64,48,48,0,inputs/water/PC4P_PFOA_head_axial
PC4P_PFOA_head_axial__unsolvated,PC4P_PFOA_head_axial,unsolvated,2,complex,PC4P,PFOA,head_axial,0,1,97,8,64,48,48,0,inputs/unsolvated/PC4P_PFOA_head_axial
PC4P_PFOA_head_tangential__water,PC4P_PFOA_head_tangential,water,2,complex,PC4P,PFOA,head_tangential,0,1,97,8,64,48,48,0,inputs/water/PC4P_PFOA_head_tangential
PC4P_PFOA_head_tangential__unsolvated,PC4P_PFOA_head_tangential,unsolvated,2,complex,PC4P,PFOA,head_tangential,0,1,97,8,64,48,48,0,inputs/unsolvated/PC4P_PFOA_head_tangential
PC4P_PFOA_alternate_oxygen__water,PC4P_PFOA_alternate_oxygen,water,2,complex,PC4P,PFOA,alternate_oxygen,0,1,97,8,64,48,48,0,inputs/water/PC4P_PFOA_alternate_oxygen
PC4P_PFOA_alternate_oxygen__unsolvated,PC4P_PFOA_alternate_oxygen,unsolvated,2,complex,PC4P,PFOA,alternate_oxygen,0,1,97,8,64,48,48,0,inputs/unsolvated/PC4P_PFOA_alternate_oxygen
PC4P_PFNA_head_axial__water,PC4P_PFNA_head_axial,water,2,complex,PC4P,PFNA,head_axial,0,1,100,8,64,48,48,0,inputs/water/PC4P_PFNA_head_axial
PC4P_PFNA_head_axial__unsolvated,PC4P_PFNA_head_axial,unsolvated,2,complex,PC4P,PFNA,head_axial,0,1,100,8,64,48,48,0,inputs/unsolvated/PC4P_PFNA_head_axial
PC4P_PFNA_head_tangential__water,PC4P_PFNA_head_tangential,water,2,complex,PC4P,PFNA,head_tangential,0,1,100,8,64,48,48,0,inputs/water/PC4P_PFNA_head_tangential
PC4P_PFNA_head_tangential__unsolvated,PC4P_PFNA_head_tangential,unsolvated,2,complex,PC4P,PFNA,head_tangential,0,1,100,8,64,48,48,0,inputs/unsolvated/PC4P_PFNA_head_tangential
PC4P_PFNA_alternate_oxygen__water,PC4P_PFNA_alternate_oxygen,water,2,complex,PC4P,PFNA,alternate_oxygen,0,1,100,8,64,48,48,0,inputs/water/PC4P_PFNA_alternate_oxygen
PC4P_PFNA_alternate_oxygen__unsolvated,PC4P_PFNA_alternate_oxygen,unsolvated,2,complex,PC4P,PFNA,alternate_oxygen,0,1,100,8,64,48,48,0,inputs/unsolvated/PC4P_PFNA_alternate_oxygen
PC4P_PFOS_head_axial__water,PC4P_PFOS_head_axial,water,2,complex,PC4P,PFOS,head_axial,0,1,101,8,64,48,48,0,inputs/water/PC4P_PFOS_head_axial
PC4P_PFOS_head_axial__unsolvated,PC4P_PFOS_head_axial,unsolvated,2,complex,PC4P,PFOS,head_axial,0,1,101,8,64,48,48,0,inputs/unsolvated/PC4P_PFOS_head_axial
PC4P_PFOS_head_tangential__water,PC4P_PFOS_head_tangential,water,2,complex,PC4P,PFOS,head_tangential,0,1,101,8,64,48,48,0,inputs/water/PC4P_PFOS_head_tangential
PC4P_PFOS_head_tangential__unsolvated,PC4P_PFOS_head_tangential,unsolvated,2,complex,PC4P,PFOS,head_tangential,0,1,101,8,64,48,48,0,inputs/unsolvated/PC4P_PFOS_head_tangential
PC4P_PFOS_alternate_oxygen__water,PC4P_PFOS_alternate_oxygen,water,2,complex,PC4P,PFOS,alternate_oxygen,0,1,101,8,64,48,48,0,inputs/water/PC4P_PFOS_alternate_oxygen
PC4P_PFOS_alternate_oxygen__unsolvated,PC4P_PFOS_alternate_oxygen,unsolvated,2,complex,PC4P,PFOS,alternate_oxygen,0,1,101,8,64,48,48,0,inputs/unsolvated/PC4P_PFOS_alternate_oxygen
PC4P-Me_Cl__water,PC4P-Me_Cl,water,2,counterion,PC4P-Me,,,0,1,78,8,64,48,48,0,inputs/water/PC4P-Me_Cl
PC4P-Me_Cl__unsolvated,PC4P-Me_Cl,unsolvated,2,counterion,PC4P-Me,,,0,1,78,8,64,48,48,0,inputs/unsolvated/PC4P-Me_Cl
PC4P-Me_PFBA_head_axial__water,PC4P-Me_PFBA_head_axial,water,2,complex,PC4P-Me,PFBA,head_axial,0,1,90,8,64,48,48,0,inputs/water/PC4P-Me_PFBA_head_axial
PC4P-Me_PFBA_head_axial__unsolvated,PC4P-Me_PFBA_head_axial,unsolvated,2,complex,PC4P-Me,PFBA,head_axial,0,1,90,8,64,48,48,0,inputs/unsolvated/PC4P-Me_PFBA_head_axial
PC4P-Me_PFBA_head_tangential__water,PC4P-Me_PFBA_head_tangential,water,2,complex,PC4P-Me,PFBA,head_tangential,0,1,90,8,64,48,48,0,inputs/water/PC4P-Me_PFBA_head_tangential
PC4P-Me_PFBA_head_tangential__unsolvated,PC4P-Me_PFBA_head_tangential,unsolvated,2,complex,PC4P-Me,PFBA,head_tangential,0,1,90,8,64,48,48,0,inputs/unsolvated/PC4P-Me_PFBA_head_tangential
